2021-04-01 14:41:46,444 p=20214 u=nlandsberg |  ERROR! You must specify a playbook file to run
2021-04-01 15:49:07,110 p=29300 u=nlandsberg |  PLAY [Run the command or configuration on devices] ******************************************************************************************************************************************
2021-04-01 15:49:07,462 p=29300 u=nlandsberg |  TASK [Send a command to Juniper device] *****************************************************************************************************************************************************
2021-04-01 15:49:08,203 p=29300 u=nlandsberg |  An exception occurred during task execution. To see the full traceback, use -vvv. The error was: ImportError: No module named plugins.action.normal
2021-04-01 15:49:08,204 p=29300 u=nlandsberg |  fatal: [qfx5120-48t-2]: FAILED! => {"ansible_facts": {"discovered_interpreter_python": "/usr/bin/python"}, "changed": false, "module_stderr": "Traceback (most recent call last):\n  File \"/Users/nlandsberg/.ansible/tmp/ansible-tmp-1617306547.53-125646573302433/AnsiballZ_juniper_junos_command.py\", line 114, in <module>\n    _ansiballz_main()\n  File \"/Users/nlandsberg/.ansible/tmp/ansible-tmp-1617306547.53-125646573302433/AnsiballZ_juniper_junos_command.py\", line 106, in _ansiballz_main\n    invoke_module(zipped_mod, temp_path, ANSIBALLZ_PARAMS)\n  File \"/Users/nlandsberg/.ansible/tmp/ansible-tmp-1617306547.53-125646573302433/AnsiballZ_juniper_junos_command.py\", line 49, in invoke_module\n    imp.load_module('__main__', mod, module, MOD_DESC)\n  File \"/var/folders/0h/kbc2wm653njfz31f4wdqj8d80000gn/T/ansible_juniper_junos_command_payload_Hr2ui2/__main__.py\", line 312, in <module>\n  File \"/var/folders/0h/kbc2wm653njfz31f4wdqj8d80000gn/T/ansible_juniper_junos_command_payload_Hr2ui2/ansible_juniper_junos_command_payload.zip/ansible/module_utils/juniper_junos_common.py\", line 39, in <module>\nImportError: No module named plugins.action.normal\n", "module_stdout": "", "msg": "MODULE FAILURE\nSee stdout/stderr for the exact error", "rc": 1, "warnings": ["Platform darwin on host qfx5120-48t-2 is using the discovered Python interpreter at /usr/bin/python, but future installation of another Python interpreter could change this. See https://docs.ansible.com/ansible/2.8/reference_appendices/interpreter_discovery.html for more information."]}
2021-04-01 15:49:08,215 p=29300 u=nlandsberg |  An exception occurred during task execution. To see the full traceback, use -vvv. The error was: ImportError: No module named plugins.action.normal
2021-04-01 15:49:08,216 p=29300 u=nlandsberg |  fatal: [qfx5120-48t-1]: FAILED! => {"ansible_facts": {"discovered_interpreter_python": "/usr/bin/python"}, "changed": false, "module_stderr": "Traceback (most recent call last):\n  File \"/Users/nlandsberg/.ansible/tmp/ansible-tmp-1617306547.51-128047198668264/AnsiballZ_juniper_junos_command.py\", line 114, in <module>\n    _ansiballz_main()\n  File \"/Users/nlandsberg/.ansible/tmp/ansible-tmp-1617306547.51-128047198668264/AnsiballZ_juniper_junos_command.py\", line 106, in _ansiballz_main\n    invoke_module(zipped_mod, temp_path, ANSIBALLZ_PARAMS)\n  File \"/Users/nlandsberg/.ansible/tmp/ansible-tmp-1617306547.51-128047198668264/AnsiballZ_juniper_junos_command.py\", line 49, in invoke_module\n    imp.load_module('__main__', mod, module, MOD_DESC)\n  File \"/var/folders/0h/kbc2wm653njfz31f4wdqj8d80000gn/T/ansible_juniper_junos_command_payload_PS95vj/__main__.py\", line 312, in <module>\n  File \"/var/folders/0h/kbc2wm653njfz31f4wdqj8d80000gn/T/ansible_juniper_junos_command_payload_PS95vj/ansible_juniper_junos_command_payload.zip/ansible/module_utils/juniper_junos_common.py\", line 39, in <module>\nImportError: No module named plugins.action.normal\n", "module_stdout": "", "msg": "MODULE FAILURE\nSee stdout/stderr for the exact error", "rc": 1, "warnings": ["Platform darwin on host qfx5120-48t-1 is using the discovered Python interpreter at /usr/bin/python, but future installation of another Python interpreter could change this. See https://docs.ansible.com/ansible/2.8/reference_appendices/interpreter_discovery.html for more information."]}
2021-04-01 15:49:08,229 p=29300 u=nlandsberg |  An exception occurred during task execution. To see the full traceback, use -vvv. The error was: ImportError: No module named plugins.action.normal
2021-04-01 15:49:08,230 p=29300 u=nlandsberg |  fatal: [qfx5120-48y-1]: FAILED! => {"ansible_facts": {"discovered_interpreter_python": "/usr/bin/python"}, "changed": false, "module_stderr": "Traceback (most recent call last):\n  File \"/Users/nlandsberg/.ansible/tmp/ansible-tmp-1617306547.48-199955044950874/AnsiballZ_juniper_junos_command.py\", line 114, in <module>\n    _ansiballz_main()\n  File \"/Users/nlandsberg/.ansible/tmp/ansible-tmp-1617306547.48-199955044950874/AnsiballZ_juniper_junos_command.py\", line 106, in _ansiballz_main\n    invoke_module(zipped_mod, temp_path, ANSIBALLZ_PARAMS)\n  File \"/Users/nlandsberg/.ansible/tmp/ansible-tmp-1617306547.48-199955044950874/AnsiballZ_juniper_junos_command.py\", line 49, in invoke_module\n    imp.load_module('__main__', mod, module, MOD_DESC)\n  File \"/var/folders/0h/kbc2wm653njfz31f4wdqj8d80000gn/T/ansible_juniper_junos_command_payload_woMdES/__main__.py\", line 312, in <module>\n  File \"/var/folders/0h/kbc2wm653njfz31f4wdqj8d80000gn/T/ansible_juniper_junos_command_payload_woMdES/ansible_juniper_junos_command_payload.zip/ansible/module_utils/juniper_junos_common.py\", line 39, in <module>\nImportError: No module named plugins.action.normal\n", "module_stdout": "", "msg": "MODULE FAILURE\nSee stdout/stderr for the exact error", "rc": 1, "warnings": ["Platform darwin on host qfx5120-48y-1 is using the discovered Python interpreter at /usr/bin/python, but future installation of another Python interpreter could change this. See https://docs.ansible.com/ansible/2.8/reference_appendices/interpreter_discovery.html for more information."]}
2021-04-01 15:49:08,244 p=29300 u=nlandsberg |  An exception occurred during task execution. To see the full traceback, use -vvv. The error was: ImportError: No module named plugins.action.normal
2021-04-01 15:49:08,245 p=29300 u=nlandsberg |  fatal: [srx4600-1]: FAILED! => {"ansible_facts": {"discovered_interpreter_python": "/usr/bin/python"}, "changed": false, "module_stderr": "Traceback (most recent call last):\n  File \"/Users/nlandsberg/.ansible/tmp/ansible-tmp-1617306547.54-72178465964467/AnsiballZ_juniper_junos_command.py\", line 114, in <module>\n    _ansiballz_main()\n  File \"/Users/nlandsberg/.ansible/tmp/ansible-tmp-1617306547.54-72178465964467/AnsiballZ_juniper_junos_command.py\", line 106, in _ansiballz_main\n    invoke_module(zipped_mod, temp_path, ANSIBALLZ_PARAMS)\n  File \"/Users/nlandsberg/.ansible/tmp/ansible-tmp-1617306547.54-72178465964467/AnsiballZ_juniper_junos_command.py\", line 49, in invoke_module\n    imp.load_module('__main__', mod, module, MOD_DESC)\n  File \"/var/folders/0h/kbc2wm653njfz31f4wdqj8d80000gn/T/ansible_juniper_junos_command_payload_idSKut/__main__.py\", line 312, in <module>\n  File \"/var/folders/0h/kbc2wm653njfz31f4wdqj8d80000gn/T/ansible_juniper_junos_command_payload_idSKut/ansible_juniper_junos_command_payload.zip/ansible/module_utils/juniper_junos_common.py\", line 39, in <module>\nImportError: No module named plugins.action.normal\n", "module_stdout": "", "msg": "MODULE FAILURE\nSee stdout/stderr for the exact error", "rc": 1, "warnings": ["Platform darwin on host srx4600-1 is using the discovered Python interpreter at /usr/bin/python, but future installation of another Python interpreter could change this. See https://docs.ansible.com/ansible/2.8/reference_appendices/interpreter_discovery.html for more information."]}
2021-04-01 15:49:08,263 p=29300 u=nlandsberg |  An exception occurred during task execution. To see the full traceback, use -vvv. The error was: ImportError: No module named plugins.action.normal
2021-04-01 15:49:08,264 p=29300 u=nlandsberg |  fatal: [qfx5120-48y-2]: FAILED! => {"ansible_facts": {"discovered_interpreter_python": "/usr/bin/python"}, "changed": false, "module_stderr": "Traceback (most recent call last):\n  File \"/Users/nlandsberg/.ansible/tmp/ansible-tmp-1617306547.5-279817546365946/AnsiballZ_juniper_junos_command.py\", line 114, in <module>\n    _ansiballz_main()\n  File \"/Users/nlandsberg/.ansible/tmp/ansible-tmp-1617306547.5-279817546365946/AnsiballZ_juniper_junos_command.py\", line 106, in _ansiballz_main\n    invoke_module(zipped_mod, temp_path, ANSIBALLZ_PARAMS)\n  File \"/Users/nlandsberg/.ansible/tmp/ansible-tmp-1617306547.5-279817546365946/AnsiballZ_juniper_junos_command.py\", line 49, in invoke_module\n    imp.load_module('__main__', mod, module, MOD_DESC)\n  File \"/var/folders/0h/kbc2wm653njfz31f4wdqj8d80000gn/T/ansible_juniper_junos_command_payload_BKbX0X/__main__.py\", line 312, in <module>\n  File \"/var/folders/0h/kbc2wm653njfz31f4wdqj8d80000gn/T/ansible_juniper_junos_command_payload_BKbX0X/ansible_juniper_junos_command_payload.zip/ansible/module_utils/juniper_junos_common.py\", line 39, in <module>\nImportError: No module named plugins.action.normal\n", "module_stdout": "", "msg": "MODULE FAILURE\nSee stdout/stderr for the exact error", "rc": 1, "warnings": ["Platform darwin on host qfx5120-48y-2 is using the discovered Python interpreter at /usr/bin/python, but future installation of another Python interpreter could change this. See https://docs.ansible.com/ansible/2.8/reference_appendices/interpreter_discovery.html for more information."]}
2021-04-01 15:49:08,591 p=29300 u=nlandsberg |  An exception occurred during task execution. To see the full traceback, use -vvv. The error was: ImportError: No module named plugins.action.normal
